id,MQ135,MQ3,MQ4,MQ5,MQ6,MQ8,Temp,Humidity
1,304,26,284,988,332,33,33.7,43.4
1,307,31,288,978,341,32,34.3,41.2
1,302,29,290,979,330,35,34.3,42.4
1,317,327,361,893,215,19,34.3,42.2
1,326,241,357,905,301,22,34.4,48
1,327,304,350,893,297,17,34.4,49.7
1,334,303,363,894,304,18,34.5,51.4
1,323,292,355,907,305,25,34.5,53
1,336,290,357,909,307,26,34.6,54.5
1,335,283,355,911,310,26,34.6,56.1
1,347,275,374,907,307,27,34.7,57.6
1,342,281,357,907,315,27,34.7,58.8
1,354,272,349,906,310,23,34.7,59.8
1,345,272,356,912,319,27,34.8,60.8
1,353,269,353,910,319,21,34.8,61.7
1,357,261,347,910,314,19,34.9,62.4
1,352,260,349,906,318,24,35,62.7
1,352,260,353,898,323,40,35,63
1,364,258,350,905,320,22,35,63.5
1,366,247,342,918,319,25,35.1,64.1
1,358,247,346,914,325,26,35.2,65
1,354,250,341,911,321,25,35.2,65.70001
1,369,240,339,912,322,26,35.2,66.30001
1,364,240,341,913,326,27,35.3,66.70001
1,369,231,335,909,300,25,35.3,67.1
1,371,210,337,912,325,23,35.3,67.4
1,373,231,336,906,322,22,35.4,67.8
1,372,255,328,912,324,25,35.4,68.20001
1,368,227,339,912,330,45,35.5,68.7
1,368,231,374,910,324,23,35.6,69.20001
1,369,230,336,891,330,27,35.6,69.6
1,374,230,208,910,336,27,35.7,70
1,368,223,336,913,330,28,35.7,70.2
1,371,226,337,913,327,27,35.7,70.5
1,378,215,330,911,328,31,35.8,70.70001
1,378,225,334,903,326,22,35.8,71
1,379,222,330,931,330,22,35.9,71.30001
1,380,219,327,907,327,18,36,71.4
1,378,215,329,902,327,26,36,71.4
1,377,209,336,912,331,26,36,71.4
1,376,221,325,905,328,10,36.1,71.4
1,291,322,570,815,277,11,36.2,71
1,293,363,569,826,289,16,36.3,49.9
1,300,353,560,820,285,14,36.4,50.1
1,287,352,560,829,289,16,36.4,50.6
1,301,350,555,829,292,16,36.5,51.3
1,304,336,541,827,284,13,36.5,52.3
1,303,342,545,832,291,16,36.6,53.4
1,301,339,534,835,294,16,36.7,54.4
1,295,337,529,837,295,16,36.7,55
1,301,333,523,832,295,16,36.7,55.7
1,306,323,510,830,291,14,36.8,56.3
1,321,331,509,842,299,16,36.9,56.8
1,311,322,501,835,306,16,36.9,57.4
1,311,320,497,833,294,15,37,58
1,311,320,500,847,300,16,37.1,58.6
1,316,311,494,837,295,16,37.1,59.3
1,309,321,497,849,304,16,37.2,59.9
1,318,310,491,839,298,16,37.2,60.7
1,308,321,496,848,304,17,37.3,61.3
1,320,325,496,847,303,16,37.3,61.9
1,311,322,496,848,302,17,37.4,62.3
1,317,358,506,850,304,17,37.5,62.5
1,320,343,502,847,301,16,37.5,62.7
1,326,335,499,848,355,18,37.6,62.7
1,322,331,496,840,297,15,37.7,62.6
1,326,329,500,880,304,17,37.7,62.4
1,329,319,493,845,299,16,37.7,62.4
1,275,311,479,841,293,15,37.8,62.3
1,323,316,496,846,304,18,37.9,62.5
1,333,304,493,845,303,16,38,62.8
1,323,304,493,848,306,19,38,63
1,323,223,461,745,279,0,38.1,63.1
1,336,311,482,850,305,19,38.2,63.4
1,329,297,479,849,309,20,38.2,64.20001
1,333,298,471,850,310,19,38.2,65
1,336,279,450,848,304,16,38.3,66
1,335,290,449,860,307,22,38.4,67
1,359,354,421,787,278,183,38.6,68.4
1,361,366,430,797,281,189,38.2,55.2
1,350,368,429,784,277,187,38.2,56.5
1,356,381,439,796,283,193,38.2,58
1,357,382,443,794,311,192,38.3,59.4
1,374,389,461,809,287,202,38.2,60.8
1,377,401,466,813,289,207,38.3,62.3
1,380,400,466,814,288,160,38.3,63.6
1,369,400,465,806,288,205,38.3,64.8
1,380,399,464,814,345,208,38.4,66
1,386,407,475,823,298,214,38.4,67.1
1,378,407,482,810,290,212,38.5,68.1
1,418,402,479,819,291,216,38.5,69.20001
1,391,410,487,817,297,219,38.6,70.2
1,391,400,487,826,293,219,38.6,71.2
1,391,406,492,833,295,221,38.7,71.9
1,400,406,483,830,303,220,38.7,72.5
1,406,438,432,844,304,228,38.8,73
1,409,416,498,846,304,229,38.8,73.5
1,401,412,497,837,301,230,38.9,74
1,410,416,503,846,305,230,39,74.4
1,403,407,496,848,302,228,39,74.70001
1,411,403,499,869,304,230,39,75.1
1,421,417,509,859,310,237,39.1,75.70001
1,414,405,499,861,310,213,39.2,76
1,416,405,492,861,305,235,39.2,76.30001
1,427,403,477,848,307,235,39.3,76.70001
1,413,400,476,865,309,237,39.3,76.6
1,417,432,463,869,309,238,39.4,76.4
1,427,404,477,877,315,240,39.4,76.5
1,429,403,480,880,317,240,39.5,76.70001
1,426,391,477,887,310,240,39.6,76.9
1,431,398,495,880,311,240,39.6,77
1,425,398,484,875,306,240,39.7,77.3
1,417,388,484,875,312,240,39.7,77.5
1,417,397,491,875,315,240,39.8,77.6
1,421,393,442,880,311,240,39.9,77.8
1,428,386,489,883,313,243,39.9,77.9
1,431,384,489,887,317,243,40,78
1,434,395,496,885,319,244,40,78.20001
1,432,393,495,880,320,246,40.1,78.4
1,431,383,485,896,323,249,40.1,78.4
1,431,390,496,885,321,247,40.2,78.5
1,432,461,485,890,320,244,40.2,78.6
1,432,390,496,894,321,250,40.3,78.6
1,436,386,496,894,322,249,40.3,78.7
1,432,384,496,892,320,245,40.4,78.7
1,440,382,499,899,325,253,40.4,78.80001
1,432,379,496,894,258,245,40.5,78.9
1,432,375,496,897,320,253,40.5,79
1,432,370,495,906,319,249,40.5,78.9
1,439,378,502,896,321,209,40.6,78.80001
1,436,369,498,909,322,255,40.7,78.9
1,445,380,506,906,326,256,40.7,79
1,444,379,506,905,325,254,40.7,79
1,435,366,496,912,322,256,40.7,79.20001
1,383,383,463,817,288,186,40.8,79.6
1,400,402,490,819,292,180,39.6,56.4
1,406,410,500,817,290,182,39.6,59.9
1,403,416,503,828,284,181,39.6,63.4
1,421,418,522,833,286,186,39.5,66.30001
1,424,423,523,834,296,190,39.5,69
1,432,429,522,843,297,192,39.5,71.4
1,439,437,526,843,290,187,39.5,73.4
1,442,434,528,848,302,192,39.5,75.1
1,449,438,531,852,303,194,39.5,76.8
1,448,439,528,858,294,201,39.5,78.20001
1,458,446,475,857,304,197,39.5,79.6
1,461,457,541,861,304,197,39.6,80.70001
1,459,450,688,881,302,196,39.5,81.6
1,471,458,537,864,303,199,39.6,82.5
1,482,461,542,870,306,199,39.6,83.20001
1,467,449,528,882,304,201,39.6,84.1
1,490,461,532,879,307,192,39.7,85
1,496,463,529,882,313,207,39.7,85.70001
1,490,455,528,886,304,203,39.7,86.20001
1,485,451,521,899,308,205,39.7,86.8
1,497,458,529,885,315,207,39.7,87.3
1,501,456,528,886,317,208,39.7,87.80001
1,498,455,528,896,315,207,39.7,88.20001
1,498,448,501,902,297,207,39.8,88.6
1,499,442,490,911,320,211,39.8,88.9
1,503,439,490,906,321,209,39.8,89.20001
1,506,432,483,915,327,213,39.9,89.40001
1,505,430,485,919,316,214,39.9,89.6
1,525,438,486,913,320,209,39.9,89.7
1,522,433,486,917,324,215,40,89.8
1,519,427,479,927,324,216,40,89.90001
1,526,427,485,928,324,215,40,90
1,511,423,474,868,319,215,40.1,90.2
1,421,560,503,831,304,29,40.1,90.5
1,431,591,509,830,295,27,39.9,63.5
1,431,591,483,836,290,27,39.9,64.5
1,432,583,518,834,294,31,39.8,65.70001
1,433,580,492,832,303,34,39.8,67
1,439,586,532,830,299,31,39.9,68
1,434,580,531,830,302,37,39.8,69
1,438,576,528,839,297,38,39.9,69.9
1,434,566,534,827,304,41,39.9,70.70001
1,439,573,528,828,304,37,39.9,71.30001
1,438,560,525,834,305,45,39.9,71.9
1,407,546,519,835,306,43,40,72.3
1,439,549,507,842,304,41,39.9,72.7
1,462,526,496,843,304,46,40,72.9
1,442,528,498,831,310,43,40,73
1,450,441,501,865,309,46,40,73.20001
1,435,521,504,831,310,47,40,73.4
1,432,500,498,841,320,48,40.1,73.80001
1,442,433,510,833,311,50,40.1,74.3
1,431,494,501,843,309,48,40.1,74.9
1,461,503,510,833,315,48,40.2,75.5
1,433,496,499,827,320,47,40.2,75.9
1,443,498,510,838,314,47,40.2,76.2
1,441,487,432,832,318,48,40.2,76.6
1,435,495,511,833,318,48,40.2,77
1,433,483,517,839,315,48,40.3,77.4
1,432,477,507,841,320,49,40.3,77.7
1,443,485,511,843,317,48,40.3,78
1,446,469,508,848,304,51,40.3,78.3
1,448,478,511,848,316,50,40.4,78.7
1,433,464,522,847,323,51,40.4,79.1
1,443,475,523,852,315,49,40.4,79.5
1,445,470,523,853,317,50,40.4,79.8
1,436,464,527,849,328,54,40.5,80
1,435,464,535,856,327,55,40.5,80.30001
1,448,471,544,858,321,49,40.6,80.6
1,450,472,528,848,328,51,40.6,80.80001
1,438,454,527,861,314,57,40.7,81
1,329,457,497,750,283,16,40.7,81.4
1,327,463,511,739,288,16,39.9,44.1
1,334,479,523,747,276,16,40,45.9
1,337,485,529,731,279,15,40,47.6
1,330,486,528,751,285,18,40,49.3
1,330,491,538,741,289,16,40.1,51
1,339,496,538,754,289,18,40.1,52.5
1,350,509,550,753,287,16,40.2,54
1,343,503,553,749,295,17,40.2,55.3
1,358,519,550,766,295,17,40.2,56.6
1,367,519,554,742,288,16,40.3,57.7
1,368,507,543,768,290,21,40.4,58.8
1,361,509,543,757,298,17,40.4,59.9
1,364,502,553,770,299,19,40.5,60.9
1,380,522,547,775,291,22,40.5,61.8
1,368,506,563,784,301,18,40.6,62.6
1,371,507,538,765,304,17,40.7,63.4
1,384,523,557,768,294,17,40.7,64.1
1,384,519,558,774,302,16,40.7,64.6
1,397,523,556,784,297,24,40.8,65.2
1,398,525,550,785,297,21,40.9,65.8
1,401,521,556,789,301,17,40.9,66.4
1,392,511,547,784,305,21,40.9,66.9
1,405,521,557,793,298,22,41,67.4
1,352,522,559,770,287,19,41.1,67.9
1,405,501,560,789,308,24,41.2,68.4
1,403,498,559,752,309,27,41.2,68.80001
1,433,519,560,803,294,23,41.2,69.3
1,422,511,557,807,304,27,41.2,69.6
1,416,505,563,801,307,21,41.3,70
1,416,509,565,842,307,21,41.3,70.3
1,426,499,558,811,314,28,41.4,70.70001
1,432,505,568,738,309,23,41.4,71
1,429,502,567,815,310,22,41.4,71.30001
1,427,496,567,816,314,23,41.5,71.6
1,423,491,574,816,319,1,41.5,71.9
1,432,545,572,823,313,30,41.6,72.20001
1,332,416,419,774,289,167,41.7,72.6
1,336,432,432,773,306,172,41.2,46.8
1,338,432,426,795,299,173,41.2,48.2
1,336,432,438,774,302,169,41.2,49.7
1,343,567,435,783,347,176,41.2,51
1,351,440,432,776,304,176,41.1,52.2
1,341,438,437,773,304,172,41.2,53.4
1,362,441,427,769,305,176,41.2,54.7
1,359,447,432,781,315,176,41.2,55.7
1,351,445,446,789,304,176,41.3,56.7
1,353,447,451,789,305,176,41.3,57.5
1,354,453,452,782,314,176,41.3,58.4
1,361,446,459,784,316,179,41.4,59.2
1,369,455,464,793,310,179,41.4,60
1,371,449,543,785,320,181,41.4,60.7
1,342,443,483,789,315,178,41.4,61.3
1,376,447,475,787,337,184,41.5,61.9
1,407,449,474,794,321,186,41.5,62.5
1,371,450,486,799,313,184,41.6,63.3
1,425,437,499,799,321,181,41.6,64
1,384,446,487,797,322,189,41.7,64.5
1,385,445,496,806,319,190,41.7,65.1
1,378,446,496,810,333,187,41.7,65.4
1,386,442,421,805,324,191,41.7,65.8
1,401,587,445,763,273,165,41.8,66
1,403,589,454,774,272,165,40.1,59.7
1,412,591,460,778,275,167,40,62.2
1,411,580,471,800,279,166,39.9,64.4
1,432,583,476,782,283,173,39.8,66.5
1,439,576,477,785,289,175,39.8,68.4
1,437,609,492,801,282,176,39.7,70.2
1,444,567,496,810,291,176,39.7,71.8
1,445,453,491,812,285,172,39.7,73.3
1,458,571,480,813,304,181,39.6,74.6
1,458,568,494,821,291,185,39.6,75.8
1,459,567,496,821,293,187,39.6,76.9
1,464,563,498,826,294,189,39.6,77.9
1,474,560,500,825,304,183,39.5,78.9
1,477,560,497,829,304,188,39.5,79.8
1,471,467,508,837,299,193,39.5,80.70001
1,482,550,507,838,307,182,39.5,81.4
1,479,555,503,843,304,194,39.6,82.1
1,479,535,497,917,308,191,39.5,82.6
1,487,544,496,848,304,195,39.5,83.1
1,491,539,496,849,306,195,39.5,83.5
1,485,518,496,860,306,194,39.5,83.8
1,479,521,496,861,304,195,39.5,84.1
1,485,523,493,854,306,199,39.5,84.3
1,493,507,482,853,213,198,39.5,84.6
1,489,510,484,855,315,202,39.5,84.8
1,495,497,485,865,317,197,39.5,85.1
1,496,503,493,871,318,201,39.6,85.4
1,497,507,496,871,315,206,39.6,85.70001
1,493,491,538,878,318,198,39.6,86.1
1,494,486,487,882,315,202,39.6,86.4
1,496,481,462,885,320,201,39.6,86.8
1,496,478,499,862,321,201,39.6,87
1,489,484,485,893,320,202,39.7,87.3
1,496,478,475,883,323,206,39.7,87.5
1,502,482,471,881,321,208,39.7,87.7
1,501,465,531,899,325,203,39.7,88
1,496,479,491,895,320,209,39.7,88.20001
1,321,304,386,733,269,156,39.7,88.70001
1,317,322,386,720,270,162,38.7,51.2
1,336,321,385,726,275,155,38.7,54.2
1,338,320,397,735,270,164,38.7,56.8
1,343,320,400,737,278,162,38.7,59.1
1,356,329,399,742,281,165,38.7,61.2
1,355,333,388,734,283,163,38.7,63.1
1,368,336,391,745,285,167,38.7,64.5
1,368,340,393,736,288,174,38.8,66.1
1,362,337,400,742,281,177,38.8,67.8
1,362,336,401,736,281,177,38.8,69.3
1,368,336,405,832,284,179,38.8,70.70001
1,384,348,395,749,292,176,38.8,71.8
1,383,333,406,752,287,178,38.8,72.8
1,386,338,400,757,293,176,38.9,73.80001
1,391,347,391,753,295,181,38.9,74.70001
1,384,345,390,757,301,181,38.9,75.6
1,392,330,401,753,290,179,38.9,76.30001
1,385,341,395,757,305,184,39,76.8
1,400,338,389,755,302,192,39,77.20001
1,385,320,395,755,293,191,39,77.5
1,389,336,387,755,303,190,39,77.6
1,403,320,393,769,304,187,39.1,77.6
1,391,331,385,755,301,192,39.1,77.7
1,400,324,384,781,306,240,39.1,77.8
1,403,321,387,773,305,189,39.2,78
1,407,315,398,811,302,197,39.2,78.20001
1,412,315,398,766,304,193,39.2,78.6
1,405,321,390,775,307,191,39.2,79
1,400,315,400,763,304,197,39.2,79.5
1,403,323,387,675,311,259,39.3,79.9
1,418,305,434,778,304,198,39.3,80.2
1,411,304,491,766,309,199,39.3,80.4
1,419,310,475,780,315,193,39.4,80.5
1,416,307,466,781,313,193,39.4,80.4
1,412,304,444,768,310,196,39.4,79.8
1,420,289,433,770,307,211,39.5,78.7
1,418,288,428,780,306,194,39.5,77.5
1,415,289,417,765,305,199,39.5,76.8
1,425,298,411,763,306,198,39.6,76.4
1,418,288,416,761,305,199,39.6,76.4
1,425,287,416,765,305,197,39.6,76.70001
1,425,291,409,775,314,195,39.6,77.1
1,409,299,395,780,317,193,39.7,77.6
1,426,283,405,762,307,198,39.7,77.8
1,365,303,378,749,287,172,39.7,77.5
1,356,316,381,765,291,168,39.7,51.6
1,365,289,385,752,287,174,39.7,53.2
1,346,339,383,767,298,165,39.7,54.8
1,368,336,390,775,296,171,39.7,56.2
1,368,336,394,746,295,169,39.7,57.5
1,365,351,398,723,299,171,39.7,58.9
1,368,350,323,762,294,176,39.7,60
1,368,347,408,775,300,175,39.7,61.1
1,368,368,438,784,305,172,39.8,62.10001
1,375,358,411,784,307,172,39.8,63
1,361,368,416,717,304,176,39.8,63.7
1,368,366,416,774,307,178,39.9,64.4
1,378,367,419,787,320,176,39.9,65
1,368,368,464,783,304,182,39.9,65.8
1,381,362,432,783,307,179,40,66.6
1,375,378,433,786,317,181,40,67.5
1,370,369,393,785,309,183,40.1,68.20001
1,384,365,435,788,441,185,40.1,69
1,369,378,433,790,314,188,40.2,69.9
1,388,366,447,806,323,180,40.2,70.70001
1,390,366,445,811,321,181,40.2,71.4
1,391,362,445,810,325,181,40.2,72
1,393,362,448,817,322,151,40.3,72.5
1,394,369,445,823,335,186,40.4,72.8
1,384,381,445,817,333,194,40.4,73.20001
1,387,382,432,816,341,192,40.5,73.7
1,390,371,441,831,337,195,40.5,74.1
1,391,386,440,837,338,198,40.6,74.5
1,399,368,461,835,351,192,40.7,74.8
1,397,368,450,823,353,193,40.7,74.8
1,387,355,453,842,350,191,40.8,74.6
1,393,352,448,837,345,191,40.8,74.3
1,384,358,450,839,347,189,40.9,74.1
1,384,347,448,837,352,190,40.9,73.9
1,383,365,435,827,354,197,41,73.80001
1,375,356,446,833,349,195,41.1,73.7
1,382,340,443,833,356,192,41.1,73.6
1,371,354,470,845,353,186,41.2,73.5
1,308,294,333,723,286,163,41.2,73.80001
1,319,314,354,731,291,158,40.6,48.7
1,326,315,349,737,282,155,40.6,51.8
1,336,336,369,739,291,160,40.5,54.8
1,341,323,374,739,292,164,40.6,57.3
1,343,336,377,753,294,169,40.5,59.60001
1,353,336,407,759,299,176,40.5,62.2
1,350,339,386,752,294,172,40.6,64.4
1,340,337,384,752,291,173,40.5,66.5
1,379,356,392,765,298,177,40.6,68.5
1,371,359,399,757,298,178,40.6,70.1
1,366,351,403,775,323,182,40.6,71.70001
1,370,360,446,821,308,188,40.7,73.3
1,394,353,400,784,302,183,40.7,74.8
1,394,355,406,797,304,192,40.7,76
1,394,369,403,789,304,183,40.7,77.20001
1,398,359,421,805,320,194,40.7,78.20001
1,395,374,430,802,319,194,40.7,79.3
1,37,62,64,213,2,0,40.8,80.2
1,221,264,302,508,118,74,40.8,80.70001
1,375,346,468,640,192,128,40.8,81.70001
1,438,371,470,720,243,167,40.8,82.3
1,125,86,144,263,36,1,40.8,82.9
1,44,39,75,165,0,0,40.9,83.6
1,352,322,464,574,143,104,40.9,83.6
1,496,368,567,711,215,163,40.9,83.70001
1,546,383,569,770,265,193,41,83.8
1,75,47,103,187,0,0,41,84.20001
1,336,286,454,543,129,98,41,84.00001
1,550,369,624,697,204,162,41,84.8
1,594,390,624,786,272,207,41.1,85
1,92,48,122,205,0,0,41,84.6
1,370,271,472,551,128,106,41.1,85.70001
1,418,610,533,784,274,23,41.1,85.6
1,418,595,528,803,278,28,37.1,68.6
1,415,599,528,800,337,27,37.2,70.9
1,428,592,510,810,274,23,37.2,72.7
1,423,592,501,784,275,30,37.2,74.20001
1,422,590,499,817,282,33,37.2,75.5
1,432,582,499,823,285,33,37.3,76.4
1,434,575,522,830,279,33,37.3,77.3
1,439,555,500,831,277,33,37.3,78.1
1,430,576,509,829,291,33,37.4,79.1
1,442,574,505,831,278,32,37.4,79.9
1,434,570,528,843,285,38,37.4,80.70001
1,448,560,491,848,287,37,37.5,81.4
1,445,564,495,840,287,35,37.6,82
1,437,561,489,843,291,35,37.6,82.6
1,447,560,476,848,289,41,37.7,83.1
1,461,554,471,859,293,42,37.7,83.6
1,455,539,467,863,289,41,37.7,84.00001
1,460,545,463,867,288,42,37.7,84.40001
1,454,550,455,787,286,38,37.8,84.7
1,450,549,446,853,278,37,37.9,85
1,455,554,433,877,290,44,37.9,85.30001
1,461,576,444,875,287,34,37.9,85.4
1,450,541,448,879,293,45,38,85.6
1,460,538,448,880,298,42,38,85.70001
1,464,535,443,883,288,41,38.1,85.9
1,461,533,436,883,292,43,38.1,86.20001
1,465,537,415,897,285,45,38.2,86.4
1,464,527,415,891,291,39,38.2,86.6
1,365,496,407,752,266,16,38.3,86.90001
1,367,496,411,750,266,16,37.6,53.6
1,368,495,411,754,265,16,37.5,55.8
1,379,491,426,755,262,15,37.5,58.1
1,386,487,421,757,240,16,37.5,60.3
1,387,477,431,762,269,16,37.5,62.3
1,395,471,420,761,272,16,37.5,64.20001
1,402,466,419,763,272,16,37.6,66
1,407,477,407,764,272,17,37.6,67.7
1,411,470,402,758,270,15,37.6,69.20001
1,325,761,624,752,272,15,37.7,71.70001
1,336,738,608,752,267,9,37.6,56
1,336,733,598,709,275,16,37.5,58
1,335,726,580,761,277,16,37.5,60
1,340,672,571,771,279,16,37.6,62
1,358,692,560,775,280,16,37.6,63.7
1,350,689,542,771,282,16,37.6,65.2
1,347,682,565,780,285,14,37.6,66.6
1,343,675,563,780,288,16,37.6,67.9
1,359,509,566,783,287,17,37.6,68.9
1,359,661,560,795,293,20,37.6,69.6
1,361,656,557,799,287,21,37.6,70.2
1,365,651,545,795,301,21,37.7,70.8
1,371,633,528,796,291,119,37.7,71.4
1,369,624,526,805,301,22,37.7,72
1,455,623,510,801,302,22,37.8,72.5
1,370,606,503,896,304,23,37.8,72.9
1,371,595,499,816,302,29,37.9,73.3
1,336,590,496,816,304,24,37.9,73.5
1,382,576,492,816,304,22,38,73.80001
1,385,569,491,813,304,22,38,74
1,381,567,470,820,303,19,38,74.4
1,384,545,466,819,305,21,38.1,74.6
1,384,589,467,823,306,25,38.1,74.6
1,380,535,467,821,311,23,38.1,74.8
1,386,530,464,957,305,21,38.2,75
1,329,1123,550,699,307,3,38.3,75.3
1,321,1115,553,709,261,14,36.7,53.2
1,336,1099,543,708,256,11,36.7,55.2
1,328,1098,549,717,266,13,36.8,56.9
1,336,1077,540,715,265,2,36.8,58.4
1,367,1058,528,720,267,7,36.8,59.9
1,350,1046,522,719,269,16,36.8,61.3
1,359,992,506,722,272,14,36.9,62.4
1,353,1011,509,733,271,16,36.9,63.4
1,366,1104,667,731,269,16,36.9,64.5
1,357,1210,674,739,271,17,37,65.6
1,362,1286,707,744,271,17,37,66.1
1,366,1232,667,739,164,16,37.1,66.2
1,368,1168,591,755,270,14,37.1,65.5
1,384,1114,550,749,272,17,37.1,64.9
1,368,1075,519,752,275,18,37.2,64.5
1,370,1043,496,672,272,16,37.2,64.20001
1,361,1015,496,754,281,19,37.3,64.1
1,357,1002,496,752,281,18,37.3,64
1,368,965,495,752,307,17,37.4,64
1,358,952,496,752,283,22,37.4,64.1
1,359,930,496,761,285,21,37.5,64.3
1,364,924,655,768,287,0,37.5,64.5
1,362,905,605,768,288,24,37.6,64.8
1,367,909,578,762,288,20,37.7,65.1
1,369,881,546,761,283,19,37.7,65.4
1,369,880,538,773,290,27,37.7,65.9
1,363,869,528,779,294,25,37.8,66.4
1,368,860,515,777,291,23,37.9,66.70001
1,331,640,560,781,274,16,38,67.5
1,340,640,562,730,275,19,38.2,50.4
1,342,652,557,730,255,16,38.2,52.8
1,341,662,559,733,277,19,38.2,54.9
1,354,673,547,732,283,19,38.2,56.9
1,361,667,539,733,290,21,38.2,58.7
1,352,675,543,736,285,23,38.2,60.2
1,365,674,533,654,285,26,38.3,61.6
1,368,667,518,746,287,27,38.3,62.7
1,368,659,510,747,287,29,38.4,63.5
1,371,659,506,749,287,28,38.4,64.20001
1,372,656,499,741,289,32,38.5,65
1,380,634,487,751,288,31,38.5,65.8
1,379,643,487,752,290,32,38.5,66.4
1,378,637,487,755,290,34,38.6,66.70001
1,389,623,464,746,282,29,38.6,66.70001
1,386,624,464,745,289,34,38.7,66.8
1,391,607,448,757,301,34,38.7,67.1
1,395,614,450,758,288,37,38.8,67.3
1,386,606,453,759,290,35,38.8,67.6
1,392,598,448,757,289,33,38.9,67.9
1,398,592,447,753,289,33,38.9,68.1
1,390,589,443,764,289,37,39,68.20001
1,397,586,439,762,290,39,39.1,68.3
1,400,577,432,758,289,35,39.1,68.3
1,401,551,472,758,319,41,39.2,68.1
1,405,567,433,763,290,38,39.2,68
1,400,561,432,766,292,40,39.3,68.20001
1,402,555,425,765,291,38,39.3,68.6
1,407,560,503,763,327,32,39.4,69
1,410,548,427,766,291,39,39.5,69.6
1,410,543,432,763,289,37,39.5,70.2
1,582,718,312,755,272,23,39.7,72.3
1,576,751,453,764,272,26,38.9,52.9
1,575,768,464,768,273,27,38.8,55.6
1,575,773,467,772,272,29,38.7,58
1,573,794,491,781,275,31,38.7,60.3
1,579,803,497,784,275,32,38.7,62.4
1,574,813,502,788,278,32,38.7,64.4
1,579,814,499,788,272,26,38.7,66.2
1,590,816,509,788,274,32,38.7,67.7
1,394,1035,464,784,278,25,38.7,70.6
1,400,1028,482,784,270,21,38.3,51.4
1,410,1023,486,784,270,19,38.3,52.8
1,394,1033,496,799,275,26,38.3,54.1
1,391,1028,495,804,275,23,38.3,55.1
1,394,1017,487,804,275,29,38.3,56.1
1,398,1014,481,814,282,30,38.3,57
1,402,1004,448,812,277,27,38.4,58
1,399,995,432,815,276,26,38.5,59
1,394,991,426,822,282,30,38.5,59.8
1,400,1001,400,815,274,25,38.5,60.5
1,398,958,407,816,278,113,38.6,60.6
1,391,950,399,932,285,30,38.6,60.4
1,384,944,388,848,283,32,38.7,60.5
1,387,927,373,833,287,31,38.7,60.5
1,387,903,354,832,285,29,38.7,60.5
1,387,897,369,822,383,26,38.8,60.7
1,384,891,369,832,282,27,38.8,60.8
1,400,880,369,832,283,15,38.8,60.9
1,384,883,383,843,291,33,38.9,60.9
